pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	false	bpq	hybrid	online	3	1.1912 ± 0.0421
mix_gen	false	bpq	npf	blank	2	1.1930 ± 0.0447
mix_gen	false	bpq	ob	online	2	1.1937 ± 0.0466
randomE	false	bpq	npf	offline	3	1.1937 ± 0.0290
mix_all	blank	bpq	ob	online	2	1.1940 ± 0.0535
mix_all	false	bpq	hybrid	online	2	1.1942 ± 0.0407
mix_all	offline	bpq	hybrid	online	3	1.1943 ± 0.0389
mix_gen	false	bpq	npf	offline	3	1.1943 ± 0.0419
randomE	offline	bpq	npf	blank	3	1.1946 ± 0.0253
mix_all	blank	bpq	ob	blank	2	1.1948 ± 0.0382
mix_gen	offline	bpq	dedup	online	3	1.1950 ± 0.0235
mix_gen	false	bpq	dedup	online	3	1.1953 ± 0.0402
mix_all	false	bpq	dedup	offline	3	1.1959 ± 0.0522
mix_gen	false	bpq	hybrid	online	2	1.1959 ± 0.0590
mix_gen	false	bpq	hybrid	offline	3	1.1962 ± 0.0315
mix_all	false	bpq	dedup	online	2	1.1968 ± 0.0321
mix_gen	offline	bpq	ob	offline	1	1.1970 ± 0.0488
mix_gen	false	bpq	npf	offline	2	1.1972 ± 0.0355
mix_gen	offline	bpq	npf	offline	2	1.1977 ± 0.0249
mix_all	false	bpq	hybrid	blank	2	1.1980 ± 0.0134
randomE	offline	bpq	npf	offline	0	1.1981 ± 0.0399
mix_all	false	bpq	npf	blank	1	1.1986 ± 0.0237
randomE	online	bpq	npf	online	2	1.1989 ± 0.0425
randomE	online	bpq	npf	offline	2	1.1989 ± 0.0367
mix_all	blank	bpq	ob	blank	3	1.1992 ± 0.0422
randomE	offline	bpq	dedup	blank	0	1.1992 ± 0.0665
randomE	false	bpq	hybrid	offline	3	1.1993 ± 0.0297
mix_gen	false	bpq	ob	offline	3	1.1997 ± 0.0481
randomE	offline	bpq	false	false	0	1.1997 ± 0.0397
mix_all	offline	bpq	hybrid	blank	0	1.1999 ± 0.0411
mix_gen	offline	bpq	ob	blank	0	1.2003 ± 0.0492
mix_gen	offline	bpq	npf	offline	1	1.2006 ± 0.0277
randomE	false	bpq	ob	online	3	1.2006 ± 0.0323
randomE	false	bpq	ob	offline	2	1.2015 ± 0.0319
randomE	false	bpq	hybrid	offline	1	1.2018 ± 0.0166
mix_gen	offline	bpq	npf	offline	3	1.2021 ± 0.0186
randomE	offline	bpq	dedup	online	0	1.2021 ± 0.0430
mix_all	offline	bpq	dedup	blank	3	1.2027 ± 0.0359
mix_all	blank	bpq	ob	blank	1	1.2027 ± 0.0520
randomE	offline	bpq	ob	blank	1	1.2029 ± 0.0560
randomE	offline	bpq	npf	blank	2	1.2029 ± 0.0301
mix_all	blank	bpq	ob	blank	0	1.2032 ± 0.0612
randomE	false	bpq	npf	offline	2	1.2032 ± 0.0408
mix_all	false	bpq	npf	online	2	1.2035 ± 0.0393
mix_all	blank	bpq	ob	online	3	1.2036 ± 0.0458
mix_all	false	bpq	hybrid	blank	1	1.2038 ± 0.0224
mix_gen	false	bpq	npf	blank	3	1.2040 ± 0.0308
randomE	offline	bpq	dedup	online	2	1.2045 ± 0.0668
mix_all	offline	bpq	ob	offline	0	1.2048 ± 0.0542
randomE	offline	bpq	hybrid	online	3	1.2050 ± 0.0287
randomE	offline	bpq	hybrid	offline	2	1.2050 ± 0.0302
randomE	offline	bpq	ob	online	3	1.2051 ± 0.0615
mix_gen	offline	bpq	ob	offline	2	1.2053 ± 0.0542
mix_gen	offline	bpq	ob	blank	3	1.2053 ± 0.0468
randomE	online	bpq	npf	offline	3	1.2055 ± 0.0230
randomE	false	bpq	ob	blank	2	1.2058 ± 0.0266
randomE	offline	bpq	npf	offline	3	1.2060 ± 0.0348
mix_gen	online	bpq	hybrid	online	2	1.2061 ± 0.0562
mix_all	offline	bpq	dedup	offline	0	1.2062 ± 0.0466
mix_all	false	bpq	npf	online	1	1.2065 ± 0.0295
mix_gen	online	bpq	npf	online	3	1.2066 ± 0.0324
mix_gen	false	bpq	dedup	blank	3	1.2067 ± 0.0363
mix_all	false	bpq	hybrid	online	3	1.2068 ± 0.0582
mix_gen	offline	bpq	dedup	blank	3	1.2068 ± 0.0360
mix_gen	online	bpq	npf	online	2	1.2069 ± 0.0343
mix_gen	online	bpq	hybrid	online	3	1.2069 ± 0.0557
randomE	false	bpq	ob	blank	3	1.2071 ± 0.0424
randomE	offline	bpq	hybrid	blank	0	1.2073 ± 0.0286
randomE	false	bpq	ob	offline	1	1.2073 ± 0.0311
mix_gen	offline	bpq	hybrid	blank	0	1.2077 ± 0.0557
randomE	offline	bpq	ob	online	2	1.2079 ± 0.0597
mix_gen	false	bpq	dedup	offline	3	1.2081 ± 0.0335
mix_gen	offline	bpq	ob	online	2	1.2082 ± 0.0663
mix_gen	offline	bpq	hybrid	blank	1	1.2085 ± 0.0636
mix_gen	false	bpq	dedup	blank	2	1.2090 ± 0.0540
mix_gen	false	bpq	dedup	offline	2	1.2090 ± 0.0666
mix_all	false	bpq	dedup	offline	2	1.2090 ± 0.0497
mix_all	offline	bpq	ob	offline	3	1.2093 ± 0.0509
mix_gen	offline	bpq	dedup	online	2	1.2098 ± 0.0436
mix_all	offline	bpq	npf	blank	0	1.2102 ± 0.0274
mix_gen	online	bpq	hybrid	offline	2	1.2104 ± 0.0644
randomE	offline	bpq	npf	online	0	1.2104 ± 0.0408
mix_all	false	bpq	ob	offline	0	1.2105 ± 0.0556
mix_all	offline	bpq	hybrid	blank	3	1.2105 ± 0.0311
mix_gen	blank	bpq	hybrid	blank	2	1.2106 ± 0.0394
mix_all	false	bpq	npf	blank	2	1.2111 ± 0.0716
mix_gen	false	bpq	ob	offline	1	1.2111 ± 0.0389
mix_gen	false	bpq	npf	blank	1	1.2113 ± 0.0404
mix_all	false	bpq	hybrid	online	1	1.2113 ± 0.0359
mix_all	false	bpq	hybrid	offline	2	1.2115 ± 0.0536
mix_all	offline	bpq	npf	offline	3	1.2115 ± 0.0265
mix_gen	offline	bpq	ob	online	3	1.2115 ± 0.0565
mix_all	online	bpq	npf	offline	2	1.2116 ± 0.0393
mix_all	offline	bpq	hybrid	blank	2	1.2116 ± 0.0440
mix_all	offline	bpq	hybrid	online	0	1.2116 ± 0.0615
mix_gen	online	bpq	npf	offline	2	1.2118 ± 0.0378
mix_gen	offline	bpq	npf	online	1	1.2124 ± 0.0374
mix_all	false	bpq	ob	online	1	1.2126 ± 0.0663
randomE	false	bpq	npf	online	2	1.2126 ± 0.0520
mix_gen	online	bpq	npf	blank	3	1.2130 ± 0.0360
mix_all	offline	bpq	hybrid	offline	2	1.2132 ± 0.0634
mix_all	false	bpq	ob	online	3	1.2135 ± 0.0726
randomE	offline	bpq	ob	blank	0	1.2138 ± 0.0452
mix_all	offline	bpq	hybrid	offline	3	1.2140 ± 0.0622
randomE	online	bpq	hybrid	blank	3	1.2143 ± 0.0572
mix_all	offline	bpq	ob	online	0	1.2145 ± 0.0526
mix_all	offline	bpq	ob	offline	1	1.2146 ± 0.0627
mix_gen	online	bpq	dedup	online	3	1.2147 ± 0.0476
mix_all	offline	bpq	npf	offline	2	1.2149 ± 0.0320
randomE	offline	bpq	npf	offline	1	1.2149 ± 0.0389
randomE	offline	bpq	npf	online	2	1.2150 ± 0.0456
mix_all	false	bpq	npf	blank	0	1.2151 ± 0.0216
mix_all	blank	bpq	ob	online	0	1.2152 ± 0.0620
randomE	offline	bpq	ob	offline	1	1.2152 ± 0.0308
randomE	online	bpq	hybrid	blank	2	1.2156 ± 0.0531
mix_all	false	bpq	ob	blank	1	1.2161 ± 0.0662
randomE	online	bpq	npf	blank	2	1.2162 ± 0.0590
mix_gen	offline	bpq	dedup	blank	2	1.2163 ± 0.0433
mix_gen	blank	bpq	hybrid	blank	0	1.2165 ± 0.0455
randomE	false	bpq	hybrid	online	2	1.2166 ± 0.0686
mix_all	false	bpq	npf	offline	2	1.2167 ± 0.0364
randomE	online	bpq	false	false	0	1.2170 ± 0.0275
randomE	online	bpq	npf	online	3	1.2171 ± 0.0229
mix_gen	false	bpq	ob	online	1	1.2171 ± 0.0743
mix_all	online	bpq	npf	offline	3	1.2171 ± 0.0398
randomE	offline	bpq	ob	offline	2	1.2171 ± 0.0453
randomE	offline	bpq	ob	online	1	1.2172 ± 0.0532
mix_gen	online	bpq	dedup	online	2	1.2172 ± 0.0536
randomE	false	bpq	hybrid	blank	1	1.2172 ± 0.0220
mix_all	offline	bpq	ob	online	2	1.2172 ± 0.0463
mix_gen	false	bpq	npf	blank	0	1.2175 ± 0.0359
mix_gen	false	bpq	dedup	online	1	1.2178 ± 0.0433
randomE	offline	bpq	npf	offline	2	1.2180 ± 0.0365
mix_gen	offline	bpq	dedup	offline	2	1.2183 ± 0.0543
randomE	online	bpq	hybrid	offline	2	1.2183 ± 0.0648
mix_gen	online	bpq	npf	blank	2	1.2187 ± 0.0371
randomE	blank	bpq	dedup	blank	0	1.2188 ± 0.0494
mix_all	offline	bpq	dedup	blank	1	1.2189 ± 0.0280
randomE	online	bpq	npf	blank	3	1.2191 ± 0.0485
mix_all	offline	bpq	hybrid	blank	1	1.2191 ± 0.0297
randomE	false	bpq	npf	online	1	1.2191 ± 0.0325
mix_all	offline	bpq	hybrid	online	2	1.2191 ± 0.0499
mix_all	offline	bpq	hybrid	offline	1	1.2195 ± 0.0704
mix_all	false	bpq	npf	offline	0	1.2195 ± 0.0351
mix_gen	online	bpq	hybrid	blank	2	1.2195 ± 0.0686
mix_all	false	bpq	dedup	blank	3	1.2198 ± 0.0657
mix_gen	offline	bpq	hybrid	online	0	1.2198 ± 0.0571
mix_gen	false	bpq	ob	blank	1	1.2198 ± 0.0582
mix_gen	offline	bpq	dedup	blank	1	1.2199 ± 0.0112
randomE	offline	bpq	ob	offline	3	1.2202 ± 0.0521
mix_all	offline	bpq	ob	blank	2	1.2205 ± 0.0396
mix_gen	blank	bpq	dedup	offline	3	1.2205 ± 0.0461
