pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
randomH	false	bpq	dedup	online	3	1.0626 ± 0.0278
randomH	false	bpq	ob	online	2	1.0629 ± 0.0337
mix_gen	false	bpq	npf	blank	3	1.0646 ± 0.0454
mix_all	false	bpq	dedup	blank	2	1.0646 ± 0.0245
randomH	false	bpq	npf	offline	2	1.0651 ± 0.0782
mix_gen	false	bpq	npf	online	3	1.0659 ± 0.0533
mix_all	false	bpq	hybrid	online	3	1.0664 ± 0.0409
randomH	false	bpq	dedup	online	2	1.0671 ± 0.0351
randomH	false	bpq	npf	offline	3	1.0681 ± 0.0459
mix_all	false	bpq	hybrid	offline	2	1.0683 ± 0.0568
mix_all	false	bpq	dedup	online	3	1.0687 ± 0.0376
mix_all	false	bpq	npf	offline	2	1.0687 ± 0.0511
mix_gen	false	bpq	npf	online	2	1.0690 ± 0.0501
mix_all	false	bpq	hybrid	offline	3	1.0692 ± 0.0437
mix_gen	false	bpq	npf	blank	2	1.0699 ± 0.0328
mix_gen	false	bpq	dedup	blank	2	1.0702 ± 0.0310
mix_all	false	bpq	dedup	offline	3	1.0708 ± 0.0580
mix_gen	false	bpq	ob	offline	3	1.0714 ± 0.0454
mix_gen	false	bpq	ob	online	2	1.0721 ± 0.0297
randomH	false	bpq	dedup	offline	3	1.0726 ± 0.0319
randomH	false	bpq	hybrid	online	3	1.0733 ± 0.0594
mix_all	false	bpq	hybrid	blank	3	1.0736 ± 0.0269
randomH	false	bpq	npf	online	3	1.0737 ± 0.0509
randomH	false	bpq	npf	online	2	1.0748 ± 0.0566
mix_gen	false	bpq	hybrid	online	2	1.0761 ± 0.0368
randomH	false	bpq	dedup	blank	3	1.0776 ± 0.0567
mix_all	false	bpq	npf	blank	3	1.0779 ± 0.0617
mix_gen	false	bpq	ob	blank	3	1.0780 ± 0.0545
mix_gen	false	bpq	dedup	offline	2	1.0799 ± 0.0619
mix_all	false	bpq	ob	offline	2	1.0812 ± 0.0710
