pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_all	false	bpq	ob	online	2	1.4181 ± 0.0292
mix_gen	false	bpq	dedup	blank	3	1.4186 ± 0.0578
mix_gen	false	bpq	hybrid	online	2	1.4192 ± 0.0815
mix_all	false	bpq	dedup	online	3	1.4197 ± 0.0787
mix_gen	false	bpq	hybrid	offline	3	1.4199 ± 0.0842
randomT	false	bpq	ob	online	2	1.4199 ± 0.0441
randomT	false	bpq	dedup	online	2	1.4200 ± 0.0917
mix_gen	false	bpq	ob	offline	3	1.4214 ± 0.0612
randomT	false	bpq	hybrid	blank	2	1.4221 ± 0.0699
mix_gen	false	bpq	hybrid	online	3	1.4228 ± 0.0805
mix_all	false	bpq	dedup	blank	3	1.4233 ± 0.0986
randomT	false	bpq	ob	offline	3	1.4233 ± 0.0265
mix_gen	false	bpq	hybrid	blank	3	1.4235 ± 0.0765
mix_all	false	bpq	ob	blank	3	1.4237 ± 0.1014
mix_gen	false	bpq	ob	offline	2	1.4242 ± 0.0618
randomT	false	bpq	ob	online	3	1.4253 ± 0.0650
randomT	online	bpq	hybrid	online	2	1.4253 ± 0.0710
mix_all	false	bpq	npf	offline	3	1.4268 ± 0.0873
randomT	false	bpq	hybrid	blank	3	1.4275 ± 0.1041
randomT	false	bpq	hybrid	offline	2	1.4292 ± 0.0741
mix_gen	false	bpq	hybrid	offline	2	1.4299 ± 0.0878
randomT	false	bpq	hybrid	online	2	1.4307 ± 0.1251
mix_all	false	bpq	ob	online	3	1.4308 ± 0.0839
mix_gen	false	bpq	npf	blank	3	1.4329 ± 0.0858
randomT	false	bpq	npf	offline	3	1.4338 ± 0.1503
mix_all	false	bpq	hybrid	online	3	1.4341 ± 0.0711
mix_gen	false	bpq	ob	blank	3	1.4346 ± 0.0785
mix_gen	false	bpq	ob	online	3	1.4357 ± 0.1196
mix_all	online	bpq	npf	offline	2	1.4362 ± 0.0692
mix_gen	false	bpq	ob	online	2	1.4369 ± 0.1174
mix_gen	false	bpq	dedup	offline	2	1.4384 ± 0.0862
randomT	false	bpq	dedup	offline	3	1.4425 ± 0.0809
mix_all	false	bpq	hybrid	offline	2	1.4431 ± 0.0739
mix_all	false	bpq	hybrid	blank	3	1.4456 ± 0.1032
mix_gen	online	bpq	npf	online	3	1.4457 ± 0.1088
mix_all	false	bpq	npf	online	2	1.4463 ± 0.0863
mix_all	false	bpq	hybrid	blank	2	1.4471 ± 0.0835
mix_gen	false	bpq	dedup	offline	3	1.4475 ± 0.1142
mix_all	online	bpq	dedup	online	2	1.4475 ± 0.0514
randomT	online	bpq	hybrid	offline	2	1.4476 ± 0.0794
mix_gen	false	bpq	npf	offline	3	1.4486 ± 0.0757
mix_gen	online	bpq	npf	blank	2	1.4522 ± 0.0849
randomT	online	bpq	hybrid	blank	3	1.4524 ± 0.0741
mix_gen	false	bpq	npf	online	3	1.4528 ± 0.1073
mix_all	false	bpq	ob	offline	2	1.4545 ± 0.1007
randomT	false	bpq	hybrid	online	3	1.4554 ± 0.1046
mix_all	online	bpq	npf	blank	3	1.4568 ± 0.0714
mix_gen	online	bpq	npf	offline	3	1.4573 ± 0.1091
mix_all	online	bpq	dedup	offline	2	1.4576 ± 0.0898
mix_all	false	bpq	hybrid	offline	3	1.4598 ± 0.1235
randomT	online	bpq	dedup	online	2	1.4604 ± 0.0703
randomT	false	bpq	npf	blank	3	1.4605 ± 0.0850
randomT	false	bpq	npf	offline	2	1.4618 ± 0.0969
mix_all	online	bpq	false	false	0	1.4619 ± 0.0538
mix_gen	online	bpq	ob	offline	3	1.4627 ± 0.0821
mix_all	online	bpq	ob	offline	2	1.4627 ± 0.0837
mix_all	false	bpq	hybrid	online	2	1.4642 ± 0.1178
mix_gen	online	bpq	dedup	blank	3	1.4643 ± 0.0773
mix_gen	online	bpq	dedup	offline	3	1.4645 ± 0.0732
randomT	online	bpq	dedup	offline	3	1.4657 ± 0.0771
mix_gen	online	bpq	hybrid	online	2	1.4663 ± 0.1015
randomT	online	bpq	npf	blank	3	1.4666 ± 0.0763
mix_gen	online	bpq	hybrid	offline	2	1.4677 ± 0.0873
mix_gen	online	bpq	hybrid	online	3	1.4701 ± 0.0729
mix_all	online	bpq	npf	blank	2	1.4714 ± 0.0629
randomT	online	bpq	dedup	offline	2	1.4722 ± 0.0738
mix_gen	online	bpq	dedup	online	3	1.4724 ± 0.0936
mix_all	online	bpq	npf	offline	3	1.4730 ± 0.1075
randomT	false	bpq	npf	blank	2	1.4740 ± 0.1267
randomT	online	bpq	hybrid	offline	3	1.4754 ± 0.1239
mix_all	online	bpq	npf	online	3	1.4757 ± 0.1034
mix_all	online	bpq	hybrid	online	2	1.4763 ± 0.0852
mix_gen	online	bpq	npf	blank	3	1.4773 ± 0.1096
mix_gen	online	bpq	dedup	online	2	1.4802 ± 0.1165
randomT	online	bpq	dedup	online	3	1.4850 ± 0.0902
mix_all	online	bpq	ob	offline	3	1.4868 ± 0.0773
randomT	online	bpq	dedup	blank	3	1.4889 ± 0.0817
mix_all	online	bpq	dedup	blank	3	1.4889 ± 0.0915
mix_all	online	bpq	ob	online	2	1.4904 ± 0.0882
randomT	online	bpq	hybrid	blank	2	1.4904 ± 0.0968
mix_all	online	bpq	npf	online	2	1.4909 ± 0.1016
mix_gen	online	bpq	hybrid	blank	2	1.4909 ± 0.0871
mix_all	online	bpq	ob	blank	2	1.4911 ± 0.0823
randomT	false	bpq	npf	online	2	1.4918 ± 0.1424
mix_all	online	bpq	hybrid	blank	3	1.4936 ± 0.1109
mix_all	online	bpq	dedup	offline	3	1.4947 ± 0.0532
mix_all	online	bpq	hybrid	offline	3	1.4948 ± 0.0960
randomT	online	bpq	hybrid	online	3	1.4954 ± 0.0953
randomT	online	bpq	ob	blank	2	1.4955 ± 0.0806
mix_gen	online	bpq	ob	blank	3	1.4959 ± 0.0818
randomT	online	bpq	false	false	0	1.4959 ± 0.0771
randomT	online	bpq	ob	offline	2	1.4964 ± 0.0766
mix_all	online	bpq	hybrid	online	3	1.4970 ± 0.1040
mix_gen	online	bpq	dedup	offline	2	1.5026 ± 0.0991
mix_all	false	bpq	dedup	offline	3	1.5042 ± 0.1830
mix_gen	online	bpq	false	false	0	1.5047 ± 0.0719
mix_gen	online	bpq	hybrid	offline	3	1.5047 ± 0.1320
mix_gen	online	bpq	ob	online	3	1.5077 ± 0.0553
mix_gen	online	bpq	dedup	blank	2	1.5099 ± 0.0633
randomT	online	bpq	dedup	blank	2	1.5103 ± 0.0572
mix_gen	false	bpq	npf	offline	2	1.5124 ± 0.1272
mix_all	online	bpq	ob	online	3	1.5170 ± 0.0696
mix_gen	online	bpq	ob	online	2	1.5180 ± 0.1152
mix_all	false	bpq	dedup	offline	2	1.5239 ± 0.2103
mix_gen	online	bpq	ob	offline	2	1.5239 ± 0.0558
mix_all	online	bpq	hybrid	blank	2	1.5250 ± 0.1278
randomT	online	bpq	ob	offline	3	1.5262 ± 0.1171
mix_gen	online	bpq	ob	blank	2	1.5286 ± 0.0523
randomT	online	bpq	npf	blank	2	1.5302 ± 0.1817
randomT	online	bpq	npf	online	2	1.5306 ± 0.2809
randomT	false	bpq	false	false	0	1.5326 ± 0.1050
mix_all	online	bpq	ob	blank	3	1.5356 ± 0.1119
randomT	online	bpq	ob	blank	3	1.5388 ± 0.0721
randomT	online	bpq	ob	online	2	1.5397 ± 0.1296
randomT	online	bpq	ob	online	3	1.5410 ± 0.1015
randomT	false	bpq	npf	online	3	1.5440 ± 0.2285
mix_gen	online	bpq	npf	offline	2	1.5444 ± 0.1608
mix_gen	online	bpq	npf	online	2	1.5483 ± 0.1947
randomT	online	bpq	npf	offline	3	1.5591 ± 0.3439
mix_all	online	bpq	hybrid	offline	2	1.5670 ± 0.2157
mix_all	online	bpq	dedup	blank	2	1.5851 ± 0.1941
randomT	online	bpq	npf	online	3	1.5863 ± 0.3518
randomT	online	bpq	npf	offline	2	1.5900 ± 0.2720
mix_gen	online	bpq	hybrid	blank	3	1.6130 ± 0.1788
mix_gen	false	bpq	dedup	offline	1	1.6263 ± 0.0794
mix_all	false	bpq	dedup	online	1	1.6286 ± 0.0688
mix_all	false	bpq	npf	online	1	1.6394 ± 0.0759
mix_all	false	bpq	ob	offline	1	1.6404 ± 0.0588
mix_all	false	bpq	npf	offline	1	1.6467 ± 0.1125
mix_all	false	bpq	ob	blank	1	1.6522 ± 0.0547
mix_all	false	bpq	dedup	blank	1	1.6570 ± 0.1083
randomT	false	bpq	ob	offline	1	1.6572 ± 0.0744
randomT	false	bpq	npf	blank	1	1.6598 ± 0.1146
randomT	false	bpq	ob	online	1	1.6620 ± 0.0679
mix_all	online	bpq	npf	blank	1	1.6621 ± 0.0871
mix_gen	false	bpq	npf	blank	1	1.6652 ± 0.0909
randomT	false	bpq	hybrid	offline	1	1.6662 ± 0.0836
mix_gen	false	bpq	ob	offline	1	1.6675 ± 0.0470
mix_all	false	bpq	npf	blank	1	1.6682 ± 0.0927
randomT	online	bpq	hybrid	offline	1	1.6714 ± 0.0830
randomT	online	bpq	hybrid	blank	1	1.6724 ± 0.0405
mix_gen	false	bpq	npf	offline	1	1.6729 ± 0.0795
mix_all	online	bpq	dedup	online	1	1.6748 ± 0.0490
randomT	online	bpq	npf	blank	1	1.6771 ± 0.0744
mix_gen	false	bpq	ob	blank	1	1.6779 ± 0.0623
mix_gen	false	bpq	npf	online	1	1.6781 ± 0.0762
mix_gen	false	bpq	hybrid	offline	1	1.6791 ± 0.0627
mix_gen	false	bpq	ob	online	1	1.6829 ± 0.0517
randomT	false	bpq	hybrid	blank	1	1.6838 ± 0.0911
mix_all	false	bpq	ob	online	1	1.6842 ± 0.0934
mix_gen	false	bpq	dedup	online	1	1.6862 ± 0.1538
