pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_all	false	bpq	ob	online	2	0.6636 ± 0.0163
randomG	false	bpq	dedup	blank	2	0.6639 ± 0.0112
mix_all	false	bpq	dedup	offline	2	0.6639 ± 0.0092
randomG	false	bpq	dedup	online	2	0.6643 ± 0.0106
randomG	false	bpq	npf	online	2	0.6644 ± 0.0120
mix_gen	false	bpq	ob	online	3	0.6644 ± 0.0130
randomG	false	bpq	dedup	offline	3	0.6645 ± 0.0082
randomG	false	bpq	npf	offline	3	0.6649 ± 0.0120
mix_gen	false	bpq	dedup	blank	2	0.6651 ± 0.0058
randomG	false	bpq	hybrid	online	2	0.6651 ± 0.0225
mix_all	false	bpq	npf	online	3	0.6658 ± 0.0206
randomG	false	bpq	npf	online	3	0.6659 ± 0.0128
mix_all	false	bpq	ob	blank	2	0.6661 ± 0.0191
randomG	false	bpq	hybrid	online	3	0.6664 ± 0.0228
mix_gen	false	bpq	dedup	online	2	0.6666 ± 0.0074
mix_gen	false	bpq	hybrid	blank	2	0.6667 ± 0.0248
mix_all	false	bpq	hybrid	blank	2	0.6667 ± 0.0247
mix_all	false	bpq	npf	blank	2	0.6674 ± 0.0213
mix_gen	false	bpq	npf	offline	3	0.6677 ± 0.0165
mix_all	false	bpq	npf	offline	3	0.6678 ± 0.0292
mix_gen	false	bpq	hybrid	offline	2	0.6681 ± 0.0261
mix_all	false	bpq	dedup	online	2	0.6684 ± 0.0110
mix_gen	false	bpq	npf	blank	2	0.6685 ± 0.0209
mix_gen	online	bpq	hybrid	offline	3	0.6686 ± 0.0112
mix_gen	false	bpq	hybrid	offline	3	0.6687 ± 0.0207
mix_all	false	bpq	dedup	blank	3	0.6689 ± 0.0088
randomG	false	bpq	npf	blank	3	0.6694 ± 0.0186
randomG	online	bpq	dedup	offline	2	0.6697 ± 0.0087
mix_all	false	bpq	npf	online	2	0.6697 ± 0.0228
randomG	false	bpq	npf	blank	2	0.6698 ± 0.0201
mix_gen	online	bpq	hybrid	offline	2	0.6702 ± 0.0103
randomG	false	bpq	hybrid	offline	2	0.6704 ± 0.0230
mix_gen	false	bpq	npf	blank	3	0.6707 ± 0.0339
mix_all	false	bpq	dedup	blank	2	0.6710 ± 0.0127
randomG	online	bpq	hybrid	blank	2	0.6718 ± 0.0157
randomG	false	bpq	dedup	offline	2	0.6723 ± 0.0060
mix_all	online	bpq	ob	blank	2	0.6725 ± 0.0234
mix_all	online	bpq	hybrid	blank	3	0.6725 ± 0.0173
mix_all	false	bpq	hybrid	offline	3	0.6726 ± 0.0308
mix_all	false	bpq	ob	offline	3	0.6731 ± 0.0371
randomG	false	bpq	hybrid	blank	2	0.6732 ± 0.0200
mix_gen	false	bpq	npf	offline	2	0.6734 ± 0.0151
mix_all	online	bpq	false	false	0	0.6735 ± 0.0132
mix_gen	false	bpq	dedup	offline	3	0.6738 ± 0.0113
mix_gen	false	bpq	hybrid	online	3	0.6741 ± 0.0246
mix_all	false	bpq	hybrid	online	3	0.6743 ± 0.0405
mix_gen	false	bpq	ob	offline	3	0.6746 ± 0.0341
randomG	false	bpq	npf	offline	2	0.6747 ± 0.0109
randomG	false	bpq	ob	blank	3	0.6747 ± 0.0368
mix_gen	online	bpq	false	false	0	0.6748 ± 0.0143
randomG	online	bpq	hybrid	online	3	0.6753 ± 0.0167
randomG	false	bpq	ob	online	3	0.6754 ± 0.0372
randomG	false	bpq	dedup	online	3	0.6756 ± 0.0282
randomG	false	bpq	hybrid	offline	3	0.6757 ± 0.0387
mix_gen	false	bpq	dedup	online	3	0.6758 ± 0.0156
randomG	false	bpq	ob	blank	2	0.6760 ± 0.0353
mix_all	online	bpq	hybrid	online	3	0.6760 ± 0.0091
mix_gen	false	bpq	hybrid	online	2	0.6763 ± 0.0179
mix_gen	false	bpq	npf	online	3	0.6764 ± 0.0255
mix_all	online	bpq	ob	offline	3	0.6765 ± 0.0252
mix_gen	false	bpq	ob	online	2	0.6766 ± 0.0369
mix_all	false	bpq	ob	blank	3	0.6767 ± 0.0245
mix_gen	false	bpq	ob	offline	2	0.6770 ± 0.0396
mix_gen	online	bpq	dedup	online	3	0.6770 ± 0.0162
randomG	online	bpq	dedup	blank	2	0.6770 ± 0.0123
mix_gen	false	bpq	hybrid	blank	3	0.6774 ± 0.0330
randomG	false	bpq	ob	online	2	0.6775 ± 0.0358
mix_all	false	bpq	dedup	offline	3	0.6778 ± 0.0220
mix_all	online	bpq	hybrid	online	2	0.6783 ± 0.0123
mix_all	online	bpq	hybrid	blank	2	0.6784 ± 0.0085
mix_all	online	bpq	ob	online	2	0.6785 ± 0.0191
mix_gen	online	bpq	ob	blank	2	0.6786 ± 0.0156
mix_all	false	bpq	npf	blank	3	0.6792 ± 0.0355
randomG	online	bpq	npf	offline	3	0.6794 ± 0.0198
mix_gen	false	bpq	dedup	offline	2	0.6796 ± 0.0247
randomG	online	bpq	ob	blank	3	0.6801 ± 0.0232
mix_gen	online	bpq	ob	offline	2	0.6803 ± 0.0236
mix_all	online	bpq	ob	blank	3	0.6804 ± 0.0222
mix_gen	online	bpq	npf	online	2	0.6804 ± 0.0243
mix_all	online	bpq	ob	online	3	0.6805 ± 0.0205
mix_gen	online	bpq	dedup	blank	2	0.6806 ± 0.0169
randomG	online	bpq	hybrid	blank	3	0.6808 ± 0.0133
mix_gen	online	bpq	npf	offline	3	0.6808 ± 0.0219
mix_all	online	bpq	dedup	blank	3	0.6809 ± 0.0182
mix_gen	online	bpq	npf	offline	2	0.6812 ± 0.0203
randomG	online	bpq	false	false	0	0.6815 ± 0.0136
mix_gen	online	bpq	npf	online	3	0.6815 ± 0.0232
randomG	online	bpq	ob	online	3	0.6820 ± 0.0159
